Titre;Temps Total;Temps Préparation;Temps Cuisson;Nombre de personnes;Difficulté;Coût;Ingrédients;Étapes;Ustensiles;Liens_recette
smoothie nectarine;6 min;6 min;-;1;très facile;bon marché;['1 nectarine', '1 yaourt nature', '5 cuillères à soupe de lait'];"[""Mettre le yaourt, le lait et la nectarine lavée et dénoyautée dans un mixeur et mixer jusqu'à obtenir une substance crémeuse ou liquide. Puis servir dans un verre avec 1 ou 2 glaçons."", 'Savourer!!!', ""PS: La nectarine peut être remplacée par n'importe quel autre fruit mais ne pas modiier les quantités.""]";['1 blender', '1 Mixeur'];https://www.marmiton.org/recettes/recette_smoothie-nectarine_73852.aspx
Smoothie banane & cacahuètes;5 min;5 min;-;2;facile;bon marché;['2 bananes', '4 cuillères à café de miel', '30 cl de lait demi-écrémé', '2 cuillères de beurre de cacahuètes'];['Éplucher les bananes, les couper grossièrement et mettre au blender.', 'Ajouter le beurre de cacahuète, le miel et le lait.', 'Bien mixer le tout au blender, les servir et déguster !', 'Vous pouvez aussi ajouter de la glace pilée ou mettre au frais 10 min.'];['1 blender', '1 Couteau', '1 économe', '1 Mixeur', '1 Réfrigérateur', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_smoothie-banane-cacahuetes_309999.aspx
Chocolat au lait crémeux;4 min;2 min;2 min;1;très facile;bon marché;['3 carrés de chocolat noir ou à fondre', '1 crème allégée', '30 cl de lait'];['Faire fondre le chocolat avec un petit peu de lait. Ajouter le lait et la crème tout en mélangeant.'];['1 saladier', '1 casserole'];https://www.marmiton.org/recettes/recette_chocolat-au-lait-cremeux_14136.aspx
Smoothie orange-citron avec yaourt au sucre de canne;15 min;15 min;-;1;très facile;bon marché;['2 oranges', '1 yaourt au sucre de cannes gelée', '½ citron', '1 cuillère à café de graines de lin (facultatif)'];['Presser les oranges et le citron.', 'Mettre dans le blender, le yaourt et le jus avec les graines de lin.', 'Mixer le tout et déguster.'];['1 blender', '1 presse agrume', '1 Mixeur', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_smoothie-orange-citron-avec-yaourt-au-sucre-de-canne_83175.aspx
Liqueur de basilic;15 min;15 min;-;6;très facile;assez cher;"['300 g de sucre', '80 g de basilic frais', ""1 l d' eau de vie"", ""40 cl d' eau""]";"[""Faire macérer le basilic dans l'eau de vie pendant 1 à 2 jours."", ""Ajouter le sucre mouillé avec les 2 verres d'eau, pour laisser faire encore 1 journée."", 'Filtrer, mettre en bouteille, et conserver toujours au frais.']";['1 Entonnoir', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_liqueur-de-basilic_13633.aspx
Vin de rhubarbe;2h20;2 h;20 min;10;moyenne;moyen;"['3 kg de sucre cristallisé', '1 orange non traitée', '1 morceau de citron confit', '6 g de sel', ""10 kg de rhubarbe (n'utilisez que de la rhubarbe bien rouge et claire de la tige. Elle doit être très mûre et cueillie vers la fin de la saison. N'utilisez pas la partie verte, ni les feuilles)"", ""3 l d' eau minérale"", '1 citron vert non traité', '½ citron', 'levain', '20 g de carbonate de calcium', ""2 cl d' acide lactique à 80%""]";"[""Essuyez les tiges avec un linge humide mais ne les trempez pas dans l'eau. Coupez-les en morceaux de +/- 1 cm et en 2 ou 4 dans le sens de la longueur en fonction de la grosseur et mettez-les 48 heures au minimum au congélateur."", ""Le jour de la préparation, mettez les morceaux de rhubarbe dans une ou plusieurs passoires couvertes d'un linge et posée sur un récipient. La décongélation va ramollir la rhubarbe dont le jus va s'extraire naturellement. Exprimez la rhubarbe au maximum en la pressant dans un linge ou à l'aide d'une centrifugeuse. Vous devez récolter 5 litres de jus pur sans adjonction d'eau."", ""Mélangez le carbonate de calcium au liquide et laissez reposer +/- 3 heures. L'acide oxalique présent dans la rhubarbe se transforme alors en oxalate de calcium. Écumez si nécessaire et filtrez le liquide au travers d'une étamine posée dans un chinois."", ""Faites fondre le sucre à feu très doux dans les 2 l d'eau pour obtenir un sirop. Faites-le refroidir complètement."", 'Frottez la peau du citron vert et prélevez-en la moitié du zeste. Découpez l’orange épluchée et les citrons en morceaux. Ajoutez-les au liquide ainsi que le zeste après en avoir ôté la partie blanchâtre et l’avoir détaillé en morceaux.', 'Détaillez le gingembre en petits dés et ajoutez-les au liquide.', ""Délayez le levain dans un récipient (ex: bouteille d’eau en plastique) avec un peu de liquide. Ajoutez-le au liquide avec le sel de levure après vous être assuré que la température du liquide n'excédait pas 25 °C."", ""Versez le liquide dans une dame-jeanne que vous équipez d'un bouchon à barboteur rempli d'eau."", 'Mettez dans un endroit où la température est maintenue entre +/- 18 et 25 °C. Agitez très souvent au début de la fermentation jusqu’à amorçage. La fermentation dure de 25 à 30 jours.', 'Au bout de ce temps, filtrez pour éliminer le gingembre ainsi que les zestes et morceaux d’agrumes et remettez à décanter dans la même dame-jeanne bien nettoyée et toujours équipée de son bouchon barboteur.', 'Laissez alors décanter 6 mois au minimum. Mettez alors en bouteille en veillant à soutirer soigneusement.']";['1 Entonnoir', '1 congélateur', '1 Top 5 des meilleures passoires', '1 chinois', '1 saladier', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_vin-de-rhubarbe_10765.aspx
Cappuccino frappé à la vanille;15 min;15 min;-;1;facile;bon marché;['3 cuillères à soupe de sirop à la vanille', '15 glaçons (ou moins si vous le souhaiter)', '25 cl de lait', '10 cl de crème entière'];"[""Fouettez la crème entière en chantilly, jusqu'à ce que la crème soit plus épaisse."", 'Ajoutez les 2 cuillères à soupe de sirop à la vanille, en continuant de bien mélanger.', ""Puis mettez le tout dans une poche à douille, et laissez-la au réfrigérateur jusqu'au moment de mettre le glaçage."", ""Versez le sirop à la vanille, le lait et les glaçons dans le pichet d'un blender et mixer le tout 25 à 30 secondes."", ""Si la consistance ne vous convient, n'hésitez pas pas à remixer si nécessaire."", 'Versez le tout dans un grand verre, et mettez le glaçage sur le dessus.']";['1 Fouet cuisine', '1 Cuillère en bois', '1 poche à douille', '1 Mixeur', '1 blender', '1 douille cannelée ou unie de 14 mm', '1 Réfrigérateur'];https://www.marmiton.org/recettes/recette_frappuccino-a-la-vanille_323333.aspx
Smoothie Jus d'orange / Abricot;5 min;5 min;-;2;très facile;bon marché;"['5 abricots', ""40 cl de jus d'orange""]";"['Dénoyauter les abricots.', 'Couper en morceau les abricots.', ""Verser le jus d'orange dans un blender ou mixeur."", 'Ajouter les abricots.', 'Mixer pendant environ 45 sec.', 'Servir frais.']";['1 blender', '1 Couteau', '1 Mixeur'];https://www.marmiton.org/recettes/recette_smoothie-jus-d-orange-abricot_338248.aspx
Boisson orange et grandine;5 min;5 min;-;4;très facile;bon marché;"[""45 cl de jus d'orange"", '8 cl de grenadine', '4 glaçons']";"[""Mélange la grenadine et le jus d'orange."", 'Ajoute les glaçons après et mélanger.', ""C'est prêt!""]";[];https://www.marmiton.org/recettes/recette_boisson-orange-grenadine_530544.aspx
punch à l'eau de vie;5 min;5 min;-;2;très facile;bon marché;"['15 cl de sucre de canne', '20 cl de sirop de citrons', '25 cl de citron', ""25 cl d' eau de vie (mirabelle, quetsche, prune ou kirsch)"", '1 l de perrier', 'rondelle de citron jaune ou vert (facultatif)']";"[""Dans un grand saladier, mélanger le sirop de citron, le sucre de canne, le pulco citron et l'eau de vie."", 'Mélanger le tout délicatement.', 'Au moment de servir, ajoutez le Perrier.', 'Succès garanti!']";['1 saladier', '1 Cuillère en bois', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_punch-a-l-eau-de-vie_72676.aspx
Smoothie aux prunes;10 min;10 min;-;3;très facile;bon marché;"['4 prunes', ""25 cl de jus d'orange"", 'feuille de menthe', 'glaçons']";"['Lavez les prunes sous l’eau froide puis essuyez-les et dénoyautez-les.', ""Dans un mixeur, mixez les prunes dénoyautées avec le jus d'orange pendant quelques minutes jusqu’à obtention d’un mélange onctueux."", 'Incorporez les glaçons, mixez bien puis ajoutez les feuilles de menthe.', 'Répartissez la préparation obtenue dans trois grands verres individuels puis dégustez bien frais en dessert.']";['1 blender', '1 Mixeur', '1 saladier'];https://www.marmiton.org/recettes/recette_smoothie-aux-prunes_170986.aspx
thé au rhum;12 min;2 min;10 min;5;facile;bon marché;"['50 g de sucre roux (ou blanc)', '10 cl de rhum blanc', ""1 l d' eau"", '1 cuillère à café rase de cannelle en poudre', '1 cuillère à café de thé noir']";"[""Dans une casserole, verser l'eau, le rhum, le sucre et la cannelle."", 'Porter à ébullition puis retirer du feu.', 'Ajouter le thé et laisser infuser au minimum 3 minutes.', ""C'est prêt !! Il n'y à plus qu'à servir en filtrant le thé avec une petite passoire.""]";['1 casserole', '1 Top 5 des meilleures passoires', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_the-au-rhum_174881.aspx
Umeshu : liqueur de prunes;;-;-;1;facile;bon marché;['2 l de Liqueur blanche (une eau de vie japonaise, mais on peut aussi utiliser de la vodka ou du brandy) à 35 degrés.', '1 kg de prune', '1 kg de sucre candi blanc (koorizatoo) (selon votre goût, vous pouvez mettre un peu moins de sucre candi et à la place ajouter plus de prunes.)'];"['Voilà la recette de l’umeshu, qui signifie « liqueur de prunes » en japonais.', ""Tout d'abord, enlevez la tige des prunes et nettoyez les creux avec un cure-dent. Lavez bien les prunes à l'eau."", 'Après le lavage, il faut bien sécher les prunes pour ne pas qu’elles pourrissent pendant qu’on laisse vieillir la liqueur.', ""Ensuite, faites une petite croix dans le creux de toutes les prunes. C'est efficace pour extraire l'extrait du fruit."", 'Puis, mettez un tiers du sucre candi dans le bocal, et ensuite un tiers des prunes. Répétez cette opération 3 fois.', 'Finalement, versez la ""white liquor"" (ou l’alcool que vous avez choisi) et fermez le couvercle.', ""Patientez trois mois (ou plus longtemps si vous pouvez : plus c'est long, meilleur c'est !) en buvant de l’umeshu de l'année précédente !""]";['1 Entonnoir', '1 Couvercle', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_umeshu-liqueur-de-prunes_338505.aspx
Liqueur de myrtilles;45 min;45 min;-;1;facile;bon marché;"['500 g de sucre semoule', '1 gousse de vanille', '500 g de myrtilles', ""3 dl d' alcool à 95°"", '2 citrons (zestes et jus)']";"[""Nettoyer les myrtilles, les mettre dans un récipient, recouvrir d'eau et arroser du jus des citrons. Laisser reposer 5 mn. Egoutter et réserver."", ""Dans un grand bocal en verre, verser l'alcool, le sucre, les myrtilles, la vanille et les zestes."", 'Fermer le bocal et agiter doucement afin de mélanger les ingrédients. Laisser macérer au soleil pendant 40 jours (le rentrer pour la nuit).', 'Après 40 jours au soleil, laisser macérer encore 40 jours à la cave.', 'Puis filtrer à travers une passoire (pour enlever le plus gros), et ensuite à travers un filtre à café.', 'Mettre en bouteilles et laisser encore reposer 3 mois à la cave.']";['1 Entonnoir', '1 Couvercle', '1 Cuillère en bois', '1 Top 5 des meilleures passoires', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_liqueur-de-myrtilles_32790.aspx
Smoothie tomate, menthe, citron;10 min;10 min;-;2;facile;bon marché;['5 tomates moyennes bien mûres', '1 cuillère à soupe de sucre', '1 pincée de gros sel', '1 citron', '½ citron vert', '2 cuillères à soupe de menthe ciselée'];"['Laver les tomates.', 'Enlever la partie dure en découpant un trou bien large autour de la queue.', 'Couper en 4 et mettre dans le bol du blender. Bien mixer après chaque tomate.', 'Une fois toutes les tomates mixées, ajouter le jus du citron et du demi citron vert, et mixer.', 'Ajouter la menthe ciselée (ou de la menthe du rayon épices), bien mixer pour répartir la menthe.', ""Ajouter le sel et le sucre, mixer, goûter puis rectifier l'assaisonnement."", 'Servir immédiatement !']";['1 blender', '1 bol', '1 Mixeur', '1 couteau', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_smoothie-tomate-menthe-citron_217814.aspx
Thé tchaï;20 min;10 min;10 min;2;très facile;bon marché;"['sucre', '3 clous de girofle', '8 bulbes de cardamome', ""2 tasses d' eau"", '2 sachets de thé nature (style lipton)', '¼ bâton de cannelle (ou 1 cuillère à café de cannelle en poudre)', '3 tasses de lait']";"[""Faire bouillir l'eau avec du sucre (à doser selon les goûts)."", 'En dehors du feu, ajouter 2 sachets de thé (3 si vous désirez un thé plus fort).', 'Laisser infuser.', ""Remettre sur feu doux et ajouter les clous de girofle, la cannelle et les bulbes de cardamome ouverts (c'est à dire ouverts en deux avec un couteau)."", 'Couvrir 4 à 5 minutes.', 'Ajouter le lait et faire bouillir.', 'Verser dans une théière et servir.']";['1 Couteau', '1 Couvercle', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_the-tchae_91522.aspx
Thé vert glacé à la pêche;15 min;15 min;-;1;très facile;bon marché;"['1 cuillère à soupe de sucre', ""1 l d' eau (minérale de préférence)"", 'thé vert', '4 pêches plates ou 2 pêches rondes mûres et juteuses', '1 cuillère à soupe de sirop de pêche (facultatif)']";['Faire infuser le thé vert 4 minutes à 75°C.', 'Couper et éplucher les pêches, les introduire dans une carafe en récupérant bien le jus (vous pouvez également rajouter les noyaux de pêches puisque des résidus de pêches y restent accrochés).', 'Ajouter le sucre et le sirop. Recouvrir avec le thé.', 'Placer au réfrigérateur et verser dans un verre remplie de glaçons.', 'Dégustez et rafraîchissez-vous !'];['1 sorbetière', '1 économe', '1 couteau', '1 Couvercle', '1 balance de cuisine', '1 Réfrigérateur'];https://www.marmiton.org/recettes/recette_the-vert-glace-a-la-peche_339382.aspx
Vin de kumquats;10 min;10 min;-;6;très facile;moyen;"['1 kg de sucre', '1 bâton de vanille ou de cannelle', '1 kg de kumquat coupés en 2', '1 citron coupé en morceaux', ""1 l d' alcool à 45° pour fruits"", '5 l de vin rosé']";"[""Mélanger tous les ingrédients dans un grand bocal que l'on peut fermer hermétiquement."", 'Faire macérer un mois en remuant de temps en temps.', 'Filtrer et boire bien frais !']";['1 Entonnoir', '1 Cuillère en bois'];https://www.marmiton.org/recettes/recette_vin-de-kumquats_50365.aspx
Cocktail au limoncello;5 min;5 min;-;1;très facile;assez cher;['2 oranges', '5 cl de rhum ambré', '1 trait de limoncello', 'glaçons'];"['Verser le rhum ambré dans le verre.', 'Presser les 2 oranges, puis ajouter le jus au rhum.', 'Ajouter ensuite le trait de Limoncello, remuer et ajouter quelques glaçons.', ""C'est prêt !""]";['1 Presse-ail', '1 presse agrume', '1 Cuillère en bois'];https://www.marmiton.org/recettes/recette_cocktail-au-limoncello_53648.aspx
Rhum arrangé ananas passion;15 min;15 min;-;5;facile;moyen;['1 ananas', '5 fruits de la passion', '1 gousse de vanille', '1 l de rhum blanc', '10 cl de sirop de sucre de canne'];"[""Éplucher et couper l'ananas en rondelles."", 'Couper les fruits de la passion, retirer-en toute la pulpe et les mettre dans un grand bocal.', ""Dans le récipient, ajouter le sirop de sucre de canne, les tranches d'ananas, la gousse de vanille fendue dans sa longueur, puis le rhum*. Remuer le bocal pour bien mélanger."", 'Laisser reposer plusieurs semaines avant de déguster.']";[];https://www.marmiton.org/recettes/recette_rhum-arrange-ananas-passion_392376.aspx
Smoothie aux fruits et petit gervais;10 min;10 min;-;1;très facile;bon marché;['5 fraises', '1 banane', '1 fraises surgelé', '2 pommes Jonagold ou 1 grosse Jonagold'];['Passer la ou les pomme(s) à la centrifugeuse.', 'Mettre le jus de pomme, le petit gervais au fraise surgelé, la banane et les fraises dans le mixeur.', 'Mixer le tout et déguster immédiatement.'];['1 blender', '1 Mixeur'];https://www.marmiton.org/recettes/recette_smoothie-aux-fruits-et-petit-gervais_73672.aspx
Smoothie framboise citron kiwi;15 min;15 min;-;4;très facile;bon marché;"['3 cuillères à soupe de miel', 'gingembre', '200 g de framboises', '3 kiwis', '1 citron', ""1 verre de jus d'orange"", ""1 verre d' eau""]";"[""Mettre dans le mixeur les framboise, le jus de citron, les copeaux de gingembres, le verre d'eau, le verre de jus d'orange, le miel."", 'Éplucher les kiwis et les couper en 4 pour les joindre au reste dans le mixeur.', ""C'est prêt a servir avec ou sans glaçons ...""]";['1 blender', '1 Mixeur', '1 Couteau', '1 économe'];https://www.marmiton.org/recettes/recette_smoothie-framboise-citron-kiwi_170730.aspx
smoothie fraise rhubarbe;1 min;1 min;-;4;très facile;bon marché;['sucre en poudre', '500 g de fraises', '500 g de rhubarbe'];"['La veille (ou quelques heures avant; en fait plus vous attendez plus vous obtenez de jus), coupez la rhubarbe en petits morceaux et saupoudrez-la de sucre. Réservez au frigo.', 'Le lendemain, égouttez la rhubarbe et mettez le jus obtenu dans un blender.', 'Ajoutez les fraises lavées, séchées et équeutées puis mixez.', ""Se transforme facilement en milk shake en ajoutant de la crème glacée (essayez celle au spéculoos, surprenante et délicieuse si on n'en met pas trop) ou un yaourt type fjord.""]";['1 blender', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_smoothie-fraise-rhubarbe_71716.aspx
Smoothie pomme-citron;10 min;10 min;-;4;très facile;bon marché;['3 bananes', '1 pincée de sucre', '3 pommes', '3 cuillères à café de sirop de citrons'];"['Couper les pommes et les bananes grossièrement. Mettre le tout dans un mixeur/blender (ne pas garder la peau de la banane, mais garder celle de la pomme pour donner un gout acidulé à celle-ci, bien sûr, enlever les pépins.)', 'Ajouter les cuillères de sirop de citron. Vous pouvez le remplacer par du jus de citron et ajouter quelques pincées de plus de sucre pour donner le goût sucré du sirop de citron.', ""Mixer le tout, et surtout, vérifier que toutes les pommes sont bien mixées, et qu'il ne reste pas de gros morceaux."", 'Avec un petit mixeur, vous pouvez obtenir un aspect de compote qui ne dérangera en aucun cas la dégustation.', ""Il ne vous reste plus qu'à boire ce smoothie. On peut ressentir le goût de la pomme et du citron.""]";['1 blender', '1 Mixeur', '1 Couteau', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_smoothie-pomme-citron_340081.aspx
Smoothie végétalien;10 min;10 min;-;50;facile;bon marché;"['1 banane', ""2 poignées d' épinards frais"", '4 bouquets de brocoli', ""1 cuillère à soupe de flocons d'avoine"", '1 cuillère à soupe de beurre de cacahuètes', '10 baies de goji', 'eau', 'fruits rouges']";"[""Mixer dans un blender les épinards et les brocoli avec un peu d'eau, puis ajouter les flocons d'avoine, le beurre de cacahuètes, les baie de goji, la banane."", ""Ajouter quelques fruits rouges surgelés et plus ou moins d'eau en fonctions de vos envies.""]";['1 blender', '1 Mixeur', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_smoothie-vegetalien_315376.aspx
Boisson à l'hibiscus ou fleur de Jamaique;25 min;15 min;10 min;4;très facile;bon marché;"['sucre', ""1 poignée de fleur d'hibiscus séchée"", ""1 l d' eau""]";"[""Mettre les fleurs de Jamaique dans une casserole et y verser l'eau froide. Amener à ébullition et laisser bouillir environ 5-10 min (conseil: couvrir car l'eau tache !)."", 'Eteindre le feu et laisser refroidir.', 'Filtrer cette eau dans une récipient auquel vous aurez ajouté du sucre ou non selon les goûts.']";['1 casserole', '1 Couvercle', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_boisson-a-l-hibiscus-ou-fleur-de-jamaique_12703.aspx
Chocolat chaud à la créole;20 min;5 min;15 min;4;moyenne;moyen;"['6 cuillères à soupe de sucre de canne ou de cassonade', '1 cuillère à soupe de fécule de maïs (Maïzena)', '1 gousse de vanille', '1 pincée de muscade râpée', '1 l de lait', '1 oeuf', '4 cuillères à soupe de cacao râpé ou en poudre', '1 bâton de cannelle', ""150 g d' arachide ou d'amandes grillées""]";"['Dans une casserole, faire chauffer le lait avec la gousse de vanille fendue et grattée, la cannelle et la noix muscade.', 'Dans un petit bol mélanger le cacao, le sucre, la fécule et l’œuf avec quelques gouttes de lait froid.', ""Verser l'appareil dans le lait chaud, laisser épaissir à feu doux. Enlever la vanille et le bâton de cannelle. Ajouter les cacahuètes ou les amandes et servir bien chaud.""]";['1 casserole', '1 bol', '1 Cuillère en bois', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_chocolat-chaud-a-la-creole_11117.aspx
thé oriental à la cardamome;25 min;10 min;15 min;4;très facile;bon marché;['8 cardamome verte', '5 clous de girofle', '4 cuillères à soupe de miel', '1 cuillère à café de thé noir', '1 bâton de cannelle', '50 cl de lait'];"[""faites bouillir 50 cl d'eau, retirez la casserole du feu et versez les feuilles de thé dans la casserole."", 'Laissez infuser le thé 3 à 5 min, puis filtrez-le.', 'Faites dorer les capsules de girofle à sec dans une poêle.', 'Lorsque les épices commencent à développer leurs arômes, versez-les dans une casserole, ajoutez le thé et faites bouillir le thé aux épices 5 min, à feu doux.', 'Ajoutez le miel et le lait et portez à ébullition.', 'Au premier bouillon, retirez la casserole du feu et laissez infuser le thé au lait parfumé aux épices 3 à 4 min.', 'Filtrez-le et servez le avec un bâtonnet de cannelle en guise de cuillère.']";['1 casserole', '1 pôele', '1 pinceau'];https://www.marmiton.org/recettes/recette_the-oriental-a-la-cardamome_72144.aspx
Smoothie carotte sucré salé épicé;10 min;10 min;-;2;très facile;bon marché;['1 carotte', '1 tomate bien mure', '1 pincée de sel', 'sucre en poudre', '2 clémentines', '1 poire mure', '2 pincées de mélange 4 épices'];['coupé et salé la tomatte', 'introduire carotte et poire coupée,tomate,clémentine,les épices', 'mixer', 'gouter', 'ajouter sucre selon les besoins'];['1 blender', '1 Mixeur', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_smoothie-carotte-sucre-sale-epice_112813.aspx
Smoothie pomme banane gingembre;10 min;10 min;-;4;facile;bon marché;"['3 bananes', '3 gingembre frais', '2 pommes', ""40 cl d' eau minérale"", '½ citron', '1 céleri branche avec les feuilles']";['Smoothie très rafraîchissant découvert par hasard.', 'Peler, éplucher et couper les fruits en gros morceaux, les mettre au blender (mixer) 1 à 2 minutes.', 'Servir dans des verres.'];['1 blender', '1 Mixeur', '1 couteau', '1 économe'];https://www.marmiton.org/recettes/recette_smoothie-pomme-banane-gingembre_330547.aspx
Grand Marnier au café (digestif);10 min;10 min;-;1;difficile;moyen;['4 cl de grand-marnier', '10 grains de café'];"['Verser dans un verre solide (verre à moutarde) du Grand-Marnier (1/4 du verre environ).', 'Y ajouter les grains de café (ils flottent).', ""Faire flamber gràce à une allumette (IL NE FAUT PAS faire chauffer l'alcool auparavant)."", 'Le café commence à fondre et à donner une couleur marron au Grand-Marnier.', 'Au bout de quelques minutes, souffler pour éteindre les flammes.', 'Attendre que cela soit tiède avant de le boire, sans enlever les grains de café (on boit au travers).']";[];https://www.marmiton.org/recettes/recette_grand-marnier-au-cafe-digestif_13301.aspx
Kephyr au citrons et levures;5 min;5 min;-;1;très facile;bon marché;['4 figues', '8 sucre', '2 cuillères de kéfir', '4 rondelles de citron'];"[""Mettre dans un bocal de 2 litres, deux cuillères de grain de képhyr, 4 figues, 4 rondelles de citron et 8 sucres. Remplir d'eau jusqu'à 3 cm du haut."", ""Au bout d'une journée en été, un peu plus l'hiver,"", 'les figues remontent... Il est prêt.', 'On peut alors filtrer la préparation, mettre en bouteille... et recommencer après avoir égoutté', 'le képhyr.', 'Le Képhyr se multiplie, il faut donc en jeter', 'ou en donner à chaque fois.', ""On peut aussi remplacer les figues par d'autres fruits secs comme le raisin... On peut même y ajouter de la cannelle.""]";[];https://www.marmiton.org/recettes/recette_kephyr-au-citrons-et-levures_13579.aspx
Italian coffee à la vodka;10 min;10 min;-;1;très facile;bon marché;"[""1 filet d' amaretto"", '2½ cl de café', '2½ cl de vodka', '1 cuillère à soupe de sirop de sucre de canne', 'glace pilée']";"['Verser le café chaud dans un shaker.', 'Ajouter la vodka.', 'Le café et la vodka doivent être en proportion égales.', 'Ajouter une cuillère à soupe de sirop de sucre de canne.', ""Ajouter un filet d'amaretto à votre convenance."", 'Ajouter la glace pilée et fermet le shaker.', 'Shakez le mélange pendant 30-40 secondes, le cocktail va devenir mousseux.', 'Servez immédiatement.']";['1 saladier', '1 shaker', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_italian-coffee-a-la-vodka_321716.aspx
Smoothie fraîcheur pomme banane framboise;5 min;5 min;-;1;facile;bon marché;"['1 banane', '1 cuillère à café de sucre', '1 pomme', '5 framboises fraîches ou surgelées', '1 yaourt nature 0%', ""5 cl d' eau""]";"['Épluchez la pomme et coupez-la grossièrement en morceaux.', ""Mettez-la dans un blender (mixeur) avec les framboises, la banane, le yaourt, le sucre et l'eau."", ""Mixez le tout... c'est prêt !""]";['1 blender', '1 Mixeur', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_smoothie-fraicheur-pomme-banane-framboise_224760.aspx
Smoothie bowl fruit du dragon et framboises;20 min;20 min;-;2;facile;moyen;['1 fruit du dragon', '200 framboises surgelées', '2 petites grappes de groseilles', '1 cuillère à soupe de graines de chia (facultatif)'];"[""Couper le fruit du dragon en 2. Récupérer 6 billes à l'aide d'une cuillère à melon. Récupérer le reste de la chair."", 'Mixer la chair du fruit du dragon (sauf les billes) avec les framboises puis passer au tamis pour retirer les graines.', 'Verser le smoothie dans les coques de fruits du dragon. Disposer dessus artistiquement les billes de fruit du dragon, les groseilles et les graines de chia.']";['1 Tamis'];https://www.marmiton.org/recettes/recette_smoothie-bowl-fruit-du-dragon-et-framboises_392659.aspx
Liqueur des Indiens;15 min;15 min;-;6;moyenne;moyen;"['4 g de safran', '2 g de vanille', '1125 g de sucre', ""3 l d' eau de vie à 24°"", '90 amandes amères', '30 girofle', '8 g de Macis', '1 musc', '3 citrons coupés en tranches', '500 g de lait bouilli']";"[""Mélangez tout dans l'eau de vie, laissez macérer pendant 15 jours à douce chaleur, agitez de temps en temps et filtrez.""]";['1 Entonnoir', '1 saladier'];https://www.marmiton.org/recettes/recette_liqueur-des-indiens_11309.aspx
Smoothie bicolore avec morceaux de fruits;10 min;10 min;-;3;très facile;bon marché;['1 banane', '1 kiwi', '1 ananas', '1 nectarine', '100 g de myrtilles', '100 g de framboises'];"['Éplucher le kiwi et le découper en fines rondelles. Réserver.', 'Éplucher les fruits et les couper en morceaux.', ""Dans un blender, mixer l'ananas, la banane et des glaçons. Réserver la préparation."", 'Rincer le blender puis mixer les framboises, les myrtilles et la nectarine avec des glaçons.', ""Dans un verre, verser le premier jus jusque mi-hauteur, coller des rondelles de kiwi sur tout le tour à l'intérieur du verre puis verser la seconde préparation pour remplir le verre."", 'Boire bien frais.']";['1 blender', '1 Couteau', '1 économe', '1 Mixeur', '1 planche à découper'];https://www.marmiton.org/recettes/recette_smoothie-bicolore-avec-morceaux-de-fruits_345664.aspx
Smoothie Mangue Kiwi Banane;15 min;15 min;-;4;très facile;bon marché;['1 banane', '2 oranges', '1 yaourt à la vanille', '1 mangue', '2 kiwis', '25 cl de fruits orange/banane'];['Mettez le yaourt et le jus de fruit dans le fond du blender.', 'Epluchez et coupez les fruits en petit morceaux puis mettez-les dans le blender.', 'Mixez quelques instants.'];['1 blender'];https://www.marmiton.org/recettes/recette_smoothie-mangue-kiwi-banane_68473.aspx
Vin d'orange amer;10 min;10 min;-;25;très facile;moyen;['3 oranges douces', '1 kg de sucre', '3 orange amère', '50 cl de vodka', '5 vin rosé'];"['Couper les oranges en petits morceaux, et laisser macérer avec le sucre et la vodka pendant 15 jours.', 'Rajouter le vin rosé. Laisser macérer 15 jours supplémentaires.', 'Filtrer et mettre en bouteille, puis bouchonner (à la bouchonneuse).', ""Laisser reposer au moins 1 mois avant d'ouvrir.""]";['1 Entonnoir', '1 Couteau', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_vin-d-orange-amer_15768.aspx
